i,Freq,Ampl,Phase
74,1666.,5.822827e-008,177.9931
75,1675.,5.910881e-008,177.9228
76,1684.,6.003681e-008,177.848
77,1693.,6.101634e-008,177.7683
78,1702.,6.205198e-008,177.6831
79,1711.,6.314883e-008,177.5919
80,1720.,6.431267e-008,177.4942
81,1729.,6.555e-008,177.3891
82,1738.,6.686821e-008,177.2759
83,1747.,6.827573e-008,177.1537
84,1756.,6.978221e-008,177.0214
85,1765.,7.139871e-008,176.8778
86,1774.,7.313804e-008,176.7215
87,1783.,7.501507e-008,176.5509
88,1792.,7.704718e-008,176.364
89,1801.,7.925477e-008,176.1586
90,1810.,8.166201e-008,175.9318
91,1819.,8.429769e-008,175.6805
92,1828.,8.719639e-008,175.4008
93,1837.,9.040002e-008,175.0878
94,1846.,9.395982e-008,174.7357
95,1855.,9.79391e-008,174.337
96,1864.,1.024169e-007,173.8827
97,1873.,1.074934e-007,173.361
98,1882.,1.132969e-007,172.7567
99,1891.,1.199946e-007,172.0499
100,1900.,1.278081e-007,171.2137
101,1909.,1.370366e-007,170.2116
102,1918.,1.48093e-007,168.9923
103,1927.,1.615604e-007,167.4818
104,1936.,1.78283e-007,165.5694
105,1945.,1.995152e-007,163.0842
106,1954.,2.271584e-007,159.7496
107,1963.,2.641026e-007,155.0972
108,1972.,3.144623e-007,148.301
109,1981.,3.822054e-007,137.8985
110,1990.,4.613364e-007,121.6757
111,1999.,5.087629e-007,98.58065
112,2008.,4.67967e-007,73.7661
113,2017.,3.759394e-007,54.67904
114,2026.,2.92225e-007,42.25213
115,2035.,2.303185e-007,34.27382
116,2044.,1.858351e-007,28.95004
117,2053.,1.532542e-007,25.23737
118,2062.,1.286906e-007,22.55036
119,2071.,1.096413e-007,20.55006
120,2080.,9.449519e-008,19.03139
121,2089.,8.219152e-008,17.86497
122,2098.,7.201202e-008,16.96625
123,2107.,6.345669e-008,16.2785
124,2116.,5.616848e-008,15.76302
125,2125.,4.98864e-008,15.39335
126,2134.,4.441572e-008,15.1517
127,2143.,3.960847e-008,15.02687
128,2152.,3.535035e-008,15.01291
129,2161.,3.155177e-008,15.10853
130,2170.,2.814166e-008,15.31688
131,2179.,2.506293e-008,15.64589
132,2188.,2.226936e-008,16.10895
133,2197.,1.97232e-008,16.72645
134,2206.,1.739349e-008,17.52801
135,2215.,1.52548e-008,18.55633
136,2224.,1.328636e-008,19.8733
137,2233.,1.147157e-008,21.57023
138,2242.,9.797778e-009,23.78526
139,2251.,8.256729e-009,26.73416
140,2260.,6.845772e-009,30.76617
141,2269.,5.570909e-009,36.46509
142,2278.,4.453458e-009,44.81605
143,2287.,3.543271e-009,57.3528
144,2296.,2.934917e-009,75.5894
145,2305.,2.742477e-009,98.17507
146,2314.,2.977785e-009,119.2494
147,2323.,3.508134e-009,134.7396
148,2332.,4.189218e-009,145.1343
149,2341.,4.934419e-009,152.1398
150,2350.,5.700413e-009,157.0311
151,2359.,6.466088e-009,160.5818
152,2368.,7.221049e-009,163.2504
153,2377.,7.960207e-009,165.3158
154,2386.,8.681218e-009,166.9538
155,2395.,9.383208e-009,168.2795
156,2404.,1.006612e-008,169.3709
157,2413.,1.073034e-008,170.2827
158,2422.,1.137652e-008,171.0537
159,2431.,1.200545e-008,171.7128
160,2440.,1.261796e-008,172.2815
161,2449.,1.321493e-008,172.7761
162,2458.,1.379722e-008,173.2094
163,2467.,1.436566e-008,173.5914
164,2476.,1.492109e-008,173.93
165,2485.,1.546428e-008,174.2318
166,2494.,1.599598e-008,174.5019
167,2503.,1.651691e-008,174.7447
168,2512.,1.702774e-008,174.9637
169,2521.,1.752911e-008,175.1619
170,2530.,1.802164e-008,175.3418
171,2539.,1.850591e-008,175.5056
172,2548.,1.898246e-008,175.655
173,2557.,1.945183e-008,175.7917
174,2566.,1.99145e-008,175.9169
175,2575.,2.037095e-008,176.0318
176,2584.,2.082163e-008,176.1374
177,2593.,2.126697e-008,176.2347
178,2602.,2.170739e-008,176.3243
179,2611.,2.214326e-008,176.407
180,2620.,2.257497e-008,176.4834
181,2629.,2.300288e-008,176.554
182,2638.,2.342734e-008,176.6193
183,2647.,2.384867e-008,176.6796
184,2656.,2.42672e-008,176.7355
185,2665.,2.468324e-008,176.7871
186,2674.,2.509708e-008,176.8349
187,2683.,2.550902e-008,176.8791
188,2692.,2.591935e-008,176.92
189,2701.,2.632832e-008,176.9577
190,2710.,2.673621e-008,176.9925
191,2719.,2.714329e-008,177.0245
192,2728.,2.75498e-008,177.054
193,2737.,2.795599e-008,177.081
194,2746.,2.836211e-008,177.1058
195,2755.,2.87684e-008,177.1284
196,2764.,2.917509e-008,177.1489
197,2773.,2.958242e-008,177.1675
198,2782.,2.999063e-008,177.1843
199,2791.,3.039994e-008,177.1993
200,2800.,3.081058e-008,177.2127
201,2809.,3.122277e-008,177.2244
202,2818.,3.163675e-008,177.2346
203,2827.,3.205274e-008,177.2433
204,2836.,3.247096e-008,177.2506
205,2845.,3.289164e-008,177.2566
206,2854.,3.331502e-008,177.2612
207,2863.,3.374131e-008,177.2646
208,2872.,3.417076e-008,177.2667
209,2881.,3.460359e-008,177.2676
210,2890.,3.504005e-008,177.2674
211,2899.,3.548036e-008,177.266
212,2908.,3.592478e-008,177.2635
213,2917.,3.637354e-008,177.2599
214,2926.,3.682691e-008,177.2552
215,2935.,3.728513e-008,177.2495
216,2944.,3.774847e-008,177.2428
217,2953.,3.821721e-008,177.235
218,2962.,3.86916e-008,177.2262
219,2971.,3.917193e-008,177.2164
220,2980.,3.96585e-008,177.2057
221,2989.,4.015159e-008,177.1939
222,2998.,4.065151e-008,177.1811
223,3007.,4.115858e-008,177.1674
224,3016.,4.167311e-008,177.1527
225,3025.,4.219546e-008,177.137
226,3034.,4.272595e-008,177.1203
227,3043.,4.326495e-008,177.1026
228,3052.,4.381284e-008,177.0839
229,3061.,4.436999e-008,177.0642
230,3070.,4.49368e-008,177.0435
231,3079.,4.55137e-008,177.0217
232,3088.,4.61011e-008,176.9989
233,3097.,4.669947e-008,176.9751
234,3106.,4.730927e-008,176.9501
235,3115.,4.793099e-008,176.9241
236,3124.,4.856515e-008,176.8969
237,3133.,4.921226e-008,176.8686
238,3142.,4.98729e-008,176.8391
239,3151.,5.054765e-008,176.8084
240,3160.,5.123712e-008,176.7765
241,3169.,5.194195e-008,176.7433
242,3178.,5.266281e-008,176.7088
243,3187.,5.340042e-008,176.673
244,3196.,5.415551e-008,176.6357
245,3205.,5.492888e-008,176.5971
246,3214.,5.572135e-008,176.557
247,3223.,5.653379e-008,176.5154
248,3232.,5.736712e-008,176.4722
249,3241.,5.82223e-008,176.4274
250,3250.,5.910038e-008,176.3809
251,3259.,6.000242e-008,176.3327
252,3268.,6.092959e-008,176.2826
253,3277.,6.18831e-008,176.2307
254,3286.,6.286426e-008,176.1767
255,3295.,6.387443e-008,176.1207
256,3304.,6.491509e-008,176.0625
257,3313.,6.598779e-008,176.0021
258,3322.,6.709419e-008,175.9393
259,3331.,6.823606e-008,175.8741
260,3340.,6.941532e-008,175.8063
261,3349.,7.063398e-008,175.7357
262,3358.,7.189422e-008,175.6623
263,3367.,7.319836e-008,175.5859
264,3376.,7.454891e-008,175.5063
265,3385.,7.594856e-008,175.4234
266,3394.,7.74002e-008,175.337
267,3403.,7.890696e-008,175.2468
268,3412.,8.04722e-008,175.1527
269,3421.,8.209958e-008,175.0543
270,3430.,8.379305e-008,174.9516
271,3439.,8.555688e-008,174.8441
272,3448.,8.739573e-008,174.7316
273,3457.,8.931468e-008,174.6137
274,3466.,9.131926e-008,174.49
275,3475.,9.34155e-008,174.3603
276,3484.,9.561003e-008,174.224
277,3493.,9.791009e-008,174.0806
278,3502.,1.003237e-007,173.9296
279,3511.,1.028596e-007,173.7705
280,3520.,1.055275e-007,173.6026
281,3529.,1.083383e-007,173.4252
282,3538.,1.113038e-007,173.2374
283,3547.,1.144373e-007,173.0385
284,3556.,1.177538e-007,172.8273
285,3565.,1.212698e-007,172.6029
286,3574.,1.25004e-007,172.3638
287,3583.,1.289775e-007,172.1088
288,3592.,1.33214e-007,171.8361
289,3601.,1.377407e-007,171.544
290,3610.,1.425883e-007,171.2305
291,3619.,1.477922e-007,170.8929
292,3628.,1.533928e-007,170.5287
293,3637.,1.594369e-007,170.1346
294,3646.,1.659789e-007,169.7068
295,3655.,1.73082e-007,169.241
296,3664.,1.808207e-007,168.732
297,3673.,1.892825e-007,168.1737
298,3682.,1.985716e-007,167.5586
299,3691.,2.088121e-007,166.8781
300,3700.,2.201537e-007,166.1213
301,3709.,2.327774e-007,165.275
302,3718.,2.469041e-007,164.323
303,3727.,2.628054e-007,163.2449
304,3736.,2.808175e-007,162.0149
305,3745.,3.013589e-007,160.6002
306,3754.,3.24954e-007,158.958
307,3763.,3.522602e-007,157.0325
308,3772.,3.840997e-007,154.7495
309,3781.,4.214856e-007,152.009
310,3790.,4.656221e-007,148.6761
311,3799.,5.178185e-007,144.5678
312,3808.,5.79181e-007,139.4393
313,3817.,6.497887e-007,132.9789
314,3826.,7.268927e-007,124.8358
315,3835.,8.019691e-007,114.7364
316,3844.,8.586563e-007,102.7441
317,3853.,8.776334e-007,89.55975
318,3862.,8.506209e-007,76.46006
319,3871.,7.88368e-007,64.67618
320,3880.,7.106115e-007,54.82252
321,3889.,6.327605e-007,46.90325
322,3898.,5.623475e-007,40.62441
323,3907.,5.01528e-007,35.63614
324,3916.,4.499444e-007,31.63446
325,3925.,4.063809e-007,28.38288
326,3934.,3.694942e-007,25.70493
327,3943.,3.380775e-007,23.47051
328,3952.,3.111253e-007,21.58342
329,3961.,2.878263e-007,19.97199
330,3970.,2.675332e-007,18.58216
331,3979.,2.497305e-007,17.37263
332,3988.,2.340069e-007,16.31149
333,3997.,2.200321e-007,15.37371
334,4006.,2.075394e-007,14.53951
335,4015.,1.963114e-007,13.793
336,4024.,1.861702e-007,13.12135
337,4033.,1.769688e-007,12.51408
338,4042.,1.685847e-007,11.96254
339,4051.,1.609155e-007,11.45956
340,4060.,1.53875e-007,10.99912
341,4069.,1.473898e-007,10.57616
342,4078.,1.413975e-007,10.18637
343,4087.,1.358445e-007,9.826084
344,4096.,1.306847e-007,9.49215
345,4105.,1.25878e-007,9.181844
346,4114.,1.213896e-007,8.892805
347,4123.,1.171891e-007,8.622977
348,4132.,1.132498e-007,8.370557
349,4141.,1.095481e-007,8.133961
350,4150.,1.060631e-007,7.911791
351,4159.,1.027765e-007,7.70281
352,4168.,9.967173e-008,7.505919
353,4177.,9.673415e-008,7.320135
354,4186.,9.395058e-008,7.14458
355,4195.,9.130919e-008,6.978469
356,4204.,8.879933e-008,6.821093
357,4213.,8.641138e-008,6.671814
