i,Freq,Ampl,Phase
525,5725.,4.896037e-009,10.8196
526,5734.,4.741385e-009,11.22573
527,5743.,4.586913e-009,11.66201
528,5752.,4.432626e-009,12.13171
529,5761.,4.27853e-009,12.63853
530,5770.,4.124636e-009,13.18675
531,5779.,3.970965e-009,13.7813
532,5788.,3.817544e-009,14.42792
533,5797.,3.66441e-009,15.13327
534,5806.,3.511614e-009,15.90517
535,5815.,3.35922e-009,16.75284
536,5824.,3.207311e-009,17.68717
537,5833.,3.055997e-009,18.72114
538,5842.,2.905413e-009,19.8703
539,5851.,2.755735e-009,21.15335
540,5860.,2.607185e-009,22.59297
541,5869.,2.460049e-009,24.21673
542,5878.,2.314694e-009,26.05832
543,5887.,2.17159e-009,28.15905
544,5896.,2.031352e-009,30.56955
545,5905.,1.894773e-009,33.35167
546,5914.,1.762893e-009,36.58021
547,5923.,1.637067e-009,40.34376
548,5932.,1.519058e-009,44.7431
549,5941.,1.411127e-009,49.88436
550,5950.,1.316101e-009,55.8628
551,5959.,1.237353e-009,62.73255
552,5968.,1.178594e-009,70.46237
553,5977.,1.1434e-009,78.89059
554,5986.,1.134496e-009,87.71046
555,5995.,1.153043e-009,96.51724
556,6004.,1.198334e-009,104.9095
557,6013.,1.268077e-009,112.5886
558,6022.,1.359076e-009,119.4015
559,6031.,1.467939e-009,125.3234
560,6040.,1.591547e-009,130.4121
561,6049.,1.727271e-009,134.7641
562,6058.,1.872999e-009,138.4856
563,6067.,2.027083e-009,141.6768
564,6076.,2.18826e-009,144.4254
565,6085.,2.355566e-009,146.8054
566,6094.,2.528271e-009,148.8779
567,6103.,2.705822e-009,150.693
568,6112.,2.887801e-009,152.2914
569,6121.,3.073896e-009,153.7064
570,6130.,3.263875e-009,154.9652
571,6139.,3.45757e-009,156.0903
572,6148.,3.654863e-009,157.1001
573,6157.,3.855674e-009,158.01
574,6166.,4.059959e-009,158.8328
575,6175.,4.267697e-009,159.5793
576,6184.,4.478892e-009,160.2586
577,6193.,4.693568e-009,160.8783
578,6202.,4.911761e-009,161.4452
579,6211.,5.133525e-009,161.9648
580,6220.,5.358927e-009,162.442
581,6229.,5.588043e-009,162.881
582,6238.,5.820962e-009,163.2854
583,6247.,6.057782e-009,163.6586
584,6256.,6.298612e-009,164.0032
585,6265.,6.54357e-009,164.3217
586,6274.,6.792781e-009,164.6163
587,6283.,7.046382e-009,164.8889
588,6292.,7.304518e-009,165.1411
589,6301.,7.567343e-009,165.3745
590,6310.,7.835021e-009,165.5905
591,6319.,8.107725e-009,165.7901
592,6328.,8.385637e-009,165.9746
593,6337.,8.668952e-009,166.1448
594,6346.,8.957874e-009,166.3015
595,6355.,9.252617e-009,166.4456
596,6364.,9.55341e-009,166.5778
597,6373.,9.860493e-009,166.6986
598,6382.,1.017412e-008,166.8086
599,6391.,1.049455e-008,166.9083
600,6400.,1.082208e-008,166.9982
601,6409.,1.115699e-008,167.0786
602,6418.,1.14996e-008,167.1499
603,6427.,1.185025e-008,167.2124
604,6436.,1.220927e-008,167.2663
605,6445.,1.257706e-008,167.312
606,6454.,1.295398e-008,167.3496
607,6463.,1.334047e-008,167.3793
608,6472.,1.373695e-008,167.4012
609,6481.,1.41439e-008,167.4155
610,6490.,1.456181e-008,167.4223
611,6499.,1.49912e-008,167.4216
612,6508.,1.543264e-008,167.4134
613,6517.,1.588671e-008,167.3979
614,6526.,1.635405e-008,167.3749
615,6535.,1.683534e-008,167.3445
616,6544.,1.733128e-008,167.3066
617,6553.,1.784265e-008,167.2611
618,6562.,1.837027e-008,167.2079
619,6571.,1.891501e-008,167.147
620,6580.,1.947782e-008,167.078
621,6589.,2.00597e-008,167.001
622,6598.,2.066173e-008,166.9156
623,6607.,2.128508e-008,166.8216
624,6616.,2.1931e-008,166.7187
625,6625.,2.260083e-008,166.6067
626,6634.,2.329604e-008,166.4851
627,6643.,2.401819e-008,166.3536
628,6652.,2.476899e-008,166.2118
629,6661.,2.555028e-008,166.0592
630,6670.,2.636405e-008,165.8952
631,6679.,2.72125e-008,165.7193
632,6688.,2.809797e-008,165.5309
633,6697.,2.902306e-008,165.3291
634,6706.,2.999059e-008,165.1132
635,6715.,3.100363e-008,164.8824
636,6724.,3.206559e-008,164.6356
637,6733.,3.318016e-008,164.3717
638,6742.,3.435144e-008,164.0896
639,6751.,3.558395e-008,163.7879
640,6760.,3.688265e-008,163.4651
641,6769.,3.825308e-008,163.1196
642,6778.,3.970134e-008,162.7494
643,6787.,4.123426e-008,162.3524
644,6796.,4.28594e-008,161.9264
645,6805.,4.458526e-008,161.4686
646,6814.,4.642132e-008,160.9761
647,6823.,4.837823e-008,160.4453
648,6832.,5.046795e-008,159.8725
649,6841.,5.270398e-008,159.2531
650,6850.,5.510157e-008,158.5822
651,6859.,5.767796e-008,157.8538
652,6868.,6.045267e-008,157.0614
653,6877.,6.344788e-008,156.1969
654,6886.,6.668872e-008,155.2516
655,6895.,7.020374e-008,154.2147
656,6904.,7.402525e-008,153.0739
657,6913.,7.818974e-008,151.8148
658,6922.,8.273814e-008,150.4204
659,6931.,8.771597e-008,148.8704
