
MAT_K: 
[ 1, 1]: 1.111e+08 [ 1, 2]: 0.000e+00 [ 1, 3]: 0.000e+00 [ 1, 4]: 0.000e+00 [ 1, 5]: 0.000e+00 [ 1, 6]: 0.000e+00 [ 1, 7]:-1.111e+08 [ 1, 8]: 0.000e+00 [ 1, 9]: 0.000e+00 [ 1,10]: 0.000e+00 [ 1,11]: 0.000e+00 [ 1,12]: 0.000e+00 [ 1,13]: 0.000e+00 [ 1,14]: 0.000e+00 [ 1,15]: 0.000e+00 [ 1,16]: 0.000e+00 [ 1,17]: 0.000e+00 [ 1,18]: 0.000e+00 [ 1,19]: 0.000e+00 [ 1,20]: 0.000e+00 [ 1,21]: 0.000e+00 [ 1,22]: 0.000e+00 [ 1,23]: 0.000e+00 [ 1,24]: 0.000e+00 [ 1,25]: 0.000e+00 [ 1,26]: 0.000e+00 [ 1,27]: 0.000e+00 [ 1,28]: 0.000e+00 [ 1,29]: 0.000e+00 [ 1,30]: 0.000e+00 [ 1,31]: 0.000e+00 [ 1,32]: 0.000e+00 [ 1,33]: 0.000e+00 [ 1,34]: 0.000e+00 [ 1,35]: 0.000e+00 [ 1,36]: 0.000e+00 [ 1,37]: 0.000e+00 [ 1,38]: 0.000e+00 [ 1,39]: 0.000e+00 [ 1,40]: 0.000e+00 [ 1,41]: 0.000e+00 [ 1,42]: 0.000e+00 [ 1,43]: 0.000e+00 [ 1,44]: 0.000e+00 [ 1,45]: 0.000e+00 [ 1,46]: 0.000e+00 [ 1,47]: 0.000e+00 [ 1,48]: 0.000e+00 
[12, 1]: 0.000e+00 [12, 2]: 8.182e+04 [12, 3]: 0.000e+00 [12, 4]:-2.422e-14 [12, 5]: 0.000e+00 [12, 6]: 1.651e+03 [12, 7]: 0.000e+00 [12, 8]: 8.965e+05 [12, 9]: 0.000e+00 [12,10]: 0.000e+00 [12,11]: 0.000e+00 [12,12]: 1.526e+04 [12,13]: 0.000e+00 [12,14]:-9.783e+05 [12,15]: 0.000e+00 [12,16]: 2.826e-13 [12,17]: 0.000e+00 [12,18]:-4.909e+03 [12,19]: 0.000e+00 [12,20]: 0.000e+00 [12,21]: 0.000e+00 [12,22]: 0.000e+00 [12,23]: 0.000e+00 [12,24]: 0.000e+00 [12,25]: 0.000e+00 [12,26]: 0.000e+00 [12,27]: 0.000e+00 [12,28]: 0.000e+00 [12,29]: 0.000e+00 [12,30]: 0.000e+00 [12,31]: 0.000e+00 [12,32]: 0.000e+00 [12,33]: 0.000e+00 [12,34]: 0.000e+00 [12,35]: 0.000e+00 [12,36]: 0.000e+00 [12,37]: 0.000e+00 [12,38]: 0.000e+00 [12,39]: 0.000e+00 [12,40]: 0.000e+00 [12,41]: 0.000e+00 [12,42]: 0.000e+00 [12,43]: 0.000e+00 [12,44]: 0.000e+00 [12,45]: 0.000e+00 [12,46]: 0.000e+00 [12,47]: 0.000e+00 [12,48]: 0.000e+00 
[13, 1]: 0.000e+00 [13, 2]: 0.000e+00 [13, 3]: 0.000e+00 [13, 4]: 0.000e+00 [13, 5]: 0.000e+00 [13, 6]: 0.000e+00 [13, 7]:-1.000e+09 [13, 8]: 0.000e+00 [13, 9]: 0.000e+00 [13,10]: 0.000e+00 [13,11]: 0.000e+00 [13,12]: 0.000e+00 [13,13]: 1.000e+09 [13,14]: 0.000e+00 [13,15]: 0.000e+00 [13,16]: 0.000e+00 [13,17]: 0.000e+00 [13,18]: 0.000e+00 [13,19]: 0.000e+00 [13,20]: 0.000e+00 [13,21]: 0.000e+00 [13,22]: 0.000e+00 [13,23]: 0.000e+00 [13,24]: 0.000e+00 [13,25]: 0.000e+00 [13,26]: 0.000e+00 [13,27]: 0.000e+00 [13,28]: 0.000e+00 [13,29]: 0.000e+00 [13,30]: 0.000e+00 [13,31]: 0.000e+00 [13,32]: 0.000e+00 [13,33]: 0.000e+00 [13,34]: 0.000e+00 [13,35]: 0.000e+00 [13,36]: 0.000e+00 [13,37]: 0.000e+00 [13,38]: 0.000e+00 [13,39]: 0.000e+00 [13,40]: 0.000e+00 [13,41]: 0.000e+00 [13,42]: 0.000e+00 [13,43]: 0.000e+00 [13,44]: 0.000e+00 [13,45]: 0.000e+00 [13,46]: 0.000e+00 [13,47]: 0.000e+00 [13,48]: 0.000e+00 
[14, 1]: 0.000e+00 [14, 2]: 0.000e+00 [14, 3]: 0.000e+00 [14, 4]: 0.000e+00 [14, 5]: 0.000e+00 [14, 6]: 0.000e+00 [14, 7]: 0.000e+00 [14, 8]:-2.795e+08 [14, 9]: 0.000e+00 [14,10]: 0.000e+00 [14,11]: 0.000e+00 [14,12]:-9.783e+05 [14,13]: 0.000e+00 [14,14]: 2.795e+08 [14,15]: 0.000e+00 [14,16]: 1.308e-08 [14,17]: 0.000e+00 [14,18]:-9.783e+05 [14,19]: 0.000e+00 [14,20]: 0.000e+00 [14,21]: 0.000e+00 [14,22]: 0.000e+00 [14,23]: 0.000e+00 [14,24]: 0.000e+00 [14,25]: 0.000e+00 [14,26]: 0.000e+00 [14,27]: 0.000e+00 [14,28]: 0.000e+00 [14,29]: 0.000e+00 [14,30]: 0.000e+00 [14,31]: 0.000e+00 [14,32]: 0.000e+00 [14,33]: 0.000e+00 [14,34]: 0.000e+00 [14,35]: 0.000e+00 [14,36]: 0.000e+00 [14,37]: 0.000e+00 [14,38]: 0.000e+00 [14,39]: 0.000e+00 [14,40]: 0.000e+00 [14,41]: 0.000e+00 [14,42]: 0.000e+00 [14,43]: 0.000e+00 [14,44]: 0.000e+00 [14,45]: 0.000e+00 [14,46]: 0.000e+00 [14,47]: 0.000e+00 [14,48]: 0.000e+00 
[15, 1]: 0.000e+00 [15, 2]: 0.000e+00 [15, 3]: 0.000e+00 [15, 4]: 0.000e+00 [15, 5]: 0.000e+00 [15, 6]: 0.000e+00 [15, 7]: 0.000e+00 [15, 8]: 0.000e+00 [15, 9]:-2.795e+08 [15,10]: 7.879e-07 [15,11]: 9.783e+05 [15,12]: 0.000e+00 [15,13]: 0.000e+00 [15,14]: 0.000e+00 [15,15]: 2.795e+08 [15,16]: 1.608e-06 [15,17]: 9.783e+05 [15,18]: 0.000e+00 [15,19]: 0.000e+00 [15,20]: 0.000e+00 [15,21]: 0.000e+00 [15,22]: 0.000e+00 [15,23]: 0.000e+00 [15,24]: 0.000e+00 [15,25]: 0.000e+00 [15,26]: 0.000e+00 [15,27]: 0.000e+00 [15,28]: 0.000e+00 [15,29]: 0.000e+00 [15,30]: 0.000e+00 [15,31]: 0.000e+00 [15,32]: 0.000e+00 [15,33]: 0.000e+00 [15,34]: 0.000e+00 [15,35]: 0.000e+00 [15,36]: 0.000e+00 [15,37]: 0.000e+00 [15,38]: 0.000e+00 [15,39]: 0.000e+00 [15,40]: 0.000e+00 [15,41]: 0.000e+00 [15,42]: 0.000e+00 [15,43]: 0.000e+00 [15,44]: 0.000e+00 [15,45]: 0.000e+00 [15,46]: 0.000e+00 [15,47]: 0.000e+00 [15,48]: 0.000e+00 
[16, 1]: 0.000e+00 [16, 2]: 0.000e+00 [16, 3]: 0.000e+00 [16, 4]: 0.000e+00 [16, 5]: 0.000e+00 [16, 6]: 0.000e+00 [16, 7]: 0.000e+00 [16, 8]: 8.142e-11 [16, 9]: 7.879e-07 [16,10]:-5.486e+03 [16,11]:-1.360e-09 [16,12]: 2.826e-13 [16,13]: 0.000e+00 [16,14]: 1.308e-08 [16,15]: 1.608e-06 [16,16]: 5.486e+03 [16,17]: 1.436e-09 [16,18]:-3.708e-13 [16,19]: 0.000e+00 [16,20]: 0.000e+00 [16,21]: 0.000e+00 [16,22]: 0.000e+00 [16,23]: 0.000e+00 [16,24]: 0.000e+00 [16,25]: 0.000e+00 [16,26]: 0.000e+00 [16,27]: 0.000e+00 [16,28]: 0.000e+00 [16,29]: 0.000e+00 [16,30]: 0.000e+00 [16,31]: 0.000e+00 [16,32]: 0.000e+00 [16,33]: 0.000e+00 [16,34]: 0.000e+00 [16,35]: 0.000e+00 [16,36]: 0.000e+00 [16,37]: 0.000e+00 [16,38]: 0.000e+00 [16,39]: 0.000e+00 [16,40]: 0.000e+00 [16,41]: 0.000e+00 [16,42]: 0.000e+00 [16,43]: 0.000e+00 [16,44]: 0.000e+00 [16,45]: 0.000e+00 [16,46]: 0.000e+00 [16,47]: 0.000e+00 [16,48]: 0.000e+00 
[17, 1]: 0.000e+00 [17, 2]: 0.000e+00 [17, 3]: 0.000e+00 [17, 4]: 0.000e+00 [17, 5]: 0.000e+00 [17, 6]: 0.000e+00 [17, 7]: 0.000e+00 [17, 8]: 0.000e+00 [17, 9]:-9.783e+05 [17,10]: 1.360e-09 [17,11]:-4.909e+03 [17,12]: 0.000e+00 [17,13]: 0.000e+00 [17,14]: 0.000e+00 [17,15]: 9.783e+05 [17,16]: 1.436e-09 [17,17]: 1.176e+04 [17,18]: 0.000e+00 [17,19]: 0.000e+00 [17,20]: 0.000e+00 [17,21]: 0.000e+00 [17,22]: 0.000e+00 [17,23]: 0.000e+00 [17,24]: 0.000e+00 [17,25]: 0.000e+00 [17,26]: 0.000e+00 [17,27]: 0.000e+00 [17,28]: 0.000e+00 [17,29]: 0.000e+00 [17,30]: 0.000e+00 [17,31]: 0.000e+00 [17,32]: 0.000e+00 [17,33]: 0.000e+00 [17,34]: 0.000e+00 [17,35]: 0.000e+00 [17,36]: 0.000e+00 [17,37]: 0.000e+00 [17,38]: 0.000e+00 [17,39]: 0.000e+00 [17,40]: 0.000e+00 [17,41]: 0.000e+00 [17,42]: 0.000e+00 [17,43]: 0.000e+00 [17,44]: 0.000e+00 [17,45]: 0.000e+00 [17,46]: 0.000e+00 [17,47]: 0.000e+00 [17,48]: 0.000e+00 
[18, 1]: 0.000e+00 [18, 2]: 0.000e+00 [18, 3]: 0.000e+00 [18, 4]: 0.000e+00 [18, 5]: 0.000e+00 [18, 6]: 0.000e+00 [18, 7]: 0.000e+00 [18, 8]: 9.783e+05 [18, 9]: 0.000e+00 [18,10]: 0.000e+00 [18,11]: 0.000e+00 [18,12]:-4.909e+03 [18,13]: 0.000e+00 [18,14]:-9.783e+05 [18,15]: 0.000e+00 [18,16]:-3.708e-13 [18,17]: 0.000e+00 [18,18]: 1.176e+04 [18,19]: 0.000e+00 [18,20]: 0.000e+00 [18,21]: 0.000e+00 [18,22]: 0.000e+00 [18,23]: 0.000e+00 [18,24]: 0.000e+00 [18,25]: 0.000e+00 [18,26]: 0.000e+00 [18,27]: 0.000e+00 [18,28]: 0.000e+00 [18,29]: 0.000e+00 [18,30]: 0.000e+00 [18,31]: 0.000e+00 [18,32]: 0.000e+00 [18,33]: 0.000e+00 [18,34]: 0.000e+00 [18,35]: 0.000e+00 [18,36]: 0.000e+00 [18,37]: 0.000e+00 [18,38]: 0.000e+00 [18,39]: 0.000e+00 [18,40]: 0.000e+00 [18,41]: 0.000e+00 [18,42]: 0.000e+00 [18,43]: 0.000e+00 [18,44]: 0.000e+00 [18,45]: 0.000e+00 [18,46]: 0.000e+00 [18,47]: 0.000e+00 [18,48]: 0.000e+00 
[19, 1]: 0.000e+00 [19, 2]: 0.000e+00 [19, 3]: 0.000e+00 [19, 4]: 0.000e+00 [19, 5]: 0.000e+00 [19, 6]: 0.000e+00 [19, 7]: 0.000e+00 [19, 8]: 0.000e+00 [19, 9]: 0.000e+00 [19,10]: 0.000e+00 [19,11]: 0.000e+00 [19,12]: 0.000e+00 [19,13]: 0.000e+00 [19,14]: 0.000e+00 [19,15]: 0.000e+00 [19,16]: 0.000e+00 [19,17]: 0.000e+00 [19,18]: 0.000e+00 [19,19]: 1.771e+09 [19,20]: 0.000e+00 [19,21]: 0.000e+00 [19,22]: 0.000e+00 [19,23]: 0.000e+00 [19,24]: 0.000e+00 [19,25]: 0.000e+00 [19,26]: 0.000e+00 [19,27]: 0.000e+00 [19,28]: 0.000e+00 [19,29]: 0.000e+00 [19,30]: 0.000e+00 [19,31]: 0.000e+00 [19,32]: 0.000e+00 [19,33]: 0.000e+00 [19,34]: 0.000e+00 [19,35]: 0.000e+00 [19,36]: 0.000e+00 [19,37]: 0.000e+00 [19,38]: 0.000e+00 [19,39]: 0.000e+00 [19,40]: 0.000e+00 [19,41]: 0.000e+00 [19,42]: 0.000e+00 [19,43]: 0.000e+00 [19,44]: 0.000e+00 [19,45]: 0.000e+00 [19,46]: 0.000e+00 [19,47]: 0.000e+00 [19,48]: 0.000e+00 
[20, 1]: 0.000e+00 [20, 2]: 0.000e+00 [20, 3]: 0.000e+00 [20, 4]: 0.000e+00 [20, 5]: 0.000e+00 [20, 6]: 0.000e+00 [20, 7]: 0.000e+00 [20, 8]: 0.000e+00 [20, 9]: 0.000e+00 [20,10]: 0.000e+00 [20,11]: 0.000e+00 [20,12]: 0.000e+00 [20,13]: 0.000e+00 [20,14]: 0.000e+00 [20,15]: 0.000e+00 [20,16]: 0.000e+00 [20,17]: 0.000e+00 [20,18]: 0.000e+00 [20,19]: 0.000e+00 [20,20]: 1.771e+09 [20,21]: 0.000e+00 [20,22]: 0.000e+00 [20,23]: 0.000e+00 [20,24]: 0.000e+00 [20,25]: 0.000e+00 [20,26]: 0.000e+00 [20,27]: 0.000e+00 [20,28]: 0.000e+00 [20,29]: 0.000e+00 [20,30]: 0.000e+00 [20,31]: 0.000e+00 [20,32]: 0.000e+00 [20,33]: 0.000e+00 [20,34]: 0.000e+00 [20,35]: 0.000e+00 [20,36]: 0.000e+00 [20,37]: 0.000e+00 [20,38]: 0.000e+00 [20,39]: 0.000e+00 [20,40]: 0.000e+00 [20,41]: 0.000e+00 [20,42]: 0.000e+00 [20,43]: 0.000e+00 [20,44]: 0.000e+00 [20,45]: 0.000e+00 [20,46]: 0.000e+00 [20,47]: 0.000e+00 [20,48]: 0.000e+00 
[21, 1]: 0.000e+00 [21, 2]: 0.000e+00 [21, 3]: 0.000e+00 [21, 4]: 0.000e+00 [21, 5]: 0.000e+00 [21, 6]: 0.000e+00 [21, 7]: 0.000e+00 [21, 8]: 0.000e+00 [21, 9]: 0.000e+00 [21,10]: 0.000e+00 [21,11]: 0.000e+00 [21,12]: 0.000e+00 [21,13]: 0.000e+00 [21,14]: 0.000e+00 [21,15]: 0.000e+00 [21,16]: 0.000e+00 [21,17]: 0.000e+00 [21,18]: 0.000e+00 [21,19]: 0.000e+00 [21,20]: 0.000e+00 [21,21]: 7.345e+09 [21,22]: 0.000e+00 [21,23]: 0.000e+00 [21,24]: 0.000e+00 [21,25]: 0.000e+00 [21,26]: 0.000e+00 [21,27]: 0.000e+00 [21,28]: 0.000e+00 [21,29]: 0.000e+00 [21,30]: 0.000e+00 [21,31]: 0.000e+00 [21,32]: 0.000e+00 [21,33]: 0.000e+00 [21,34]: 0.000e+00 [21,35]: 0.000e+00 [21,36]: 0.000e+00 [21,37]: 0.000e+00 [21,38]: 0.000e+00 [21,39]: 0.000e+00 [21,40]: 0.000e+00 [21,41]: 0.000e+00 [21,42]: 0.000e+00 [21,43]: 0.000e+00 [21,44]: 0.000e+00 [21,45]: 0.000e+00 [21,46]: 0.000e+00 [21,47]: 0.000e+00 [21,48]: 0.000e+00 
[22, 1]: 0.000e+00 [22, 2]: 0.000e+00 [22, 3]: 0.000e+00 [22, 4]: 0.000e+00 [22, 5]: 0.000e+00 [22, 6]: 0.000e+00 [22, 7]: 0.000e+00 [22, 8]: 0.000e+00 [22, 9]: 0.000e+00 [22,10]: 0.000e+00 [22,11]: 0.000e+00 [22,12]: 0.000e+00 [22,13]: 0.000e+00 [22,14]: 0.000e+00 [22,15]: 0.000e+00 [22,16]: 0.000e+00 [22,17]: 0.000e+00 [22,18]: 0.000e+00 [22,19]: 0.000e+00 [22,20]: 0.000e+00 [22,21]: 0.000e+00 [22,22]: 1.014e+10 [22,23]: 0.000e+00 [22,24]: 0.000e+00 [22,25]: 0.000e+00 [22,26]: 0.000e+00 [22,27]: 0.000e+00 [22,28]: 0.000e+00 [22,29]: 0.000e+00 [22,30]: 0.000e+00 [22,31]: 0.000e+00 [22,32]: 0.000e+00 [22,33]: 0.000e+00 [22,34]: 0.000e+00 [22,35]: 0.000e+00 [22,36]: 0.000e+00 [22,37]: 0.000e+00 [22,38]: 0.000e+00 [22,39]: 0.000e+00 [22,40]: 0.000e+00 [22,41]: 0.000e+00 [22,42]: 0.000e+00 [22,43]: 0.000e+00 [22,44]: 0.000e+00 [22,45]: 0.000e+00 [22,46]: 0.000e+00 [22,47]: 0.000e+00 [22,48]: 0.000e+00 
[23, 1]: 0.000e+00 [23, 2]: 0.000e+00 [23, 3]: 0.000e+00 [23, 4]: 0.000e+00 [23, 5]: 0.000e+00 [23, 6]: 0.000e+00 [23, 7]: 0.000e+00 [23, 8]: 0.000e+00 [23, 9]: 0.000e+00 [23,10]: 0.000e+00 [23,11]: 0.000e+00 [23,12]: 0.000e+00 [23,13]: 0.000e+00 [23,14]: 0.000e+00 [23,15]: 0.000e+00 [23,16]: 0.000e+00 [23,17]: 0.000e+00 [23,18]: 0.000e+00 [23,19]: 0.000e+00 [23,20]: 0.000e+00 [23,21]: 0.000e+00 [23,22]: 0.000e+00 [23,23]: 1.014e+10 [23,24]: 0.000e+00 [23,25]: 0.000e+00 [23,26]: 0.000e+00 [23,27]: 0.000e+00 [23,28]: 0.000e+00 [23,29]: 0.000e+00 [23,30]: 0.000e+00 [23,31]: 0.000e+00 [23,32]: 0.000e+00 [23,33]: 0.000e+00 [23,34]: 0.000e+00 [23,35]: 0.000e+00 [23,36]: 0.000e+00 [23,37]: 0.000e+00 [23,38]: 0.000e+00 [23,39]: 0.000e+00 [23,40]: 0.000e+00 [23,41]: 0.000e+00 [23,42]: 0.000e+00 [23,43]: 0.000e+00 [23,44]: 0.000e+00 [23,45]: 0.000e+00 [23,46]: 0.000e+00 [23,47]: 0.000e+00 [23,48]: 0.000e+00 
[24, 1]: 0.000e+00 [24, 2]: 0.000e+00 [24, 3]: 0.000e+00 [24, 4]: 0.000e+00 [24, 5]: 0.000e+00 [24, 6]: 0.000e+00 [24, 7]: 0.000e+00 [24, 8]: 0.000e+00 [24, 9]: 0.000e+00 [24,10]: 0.000e+00 [24,11]: 0.000e+00 [24,12]: 0.000e+00 [24,13]: 0.000e+00 [24,14]: 0.000e+00 [24,15]: 0.000e+00 [24,16]: 0.000e+00 [24,17]: 0.000e+00 [24,18]: 0.000e+00 [24,19]: 0.000e+00 [24,20]: 0.000e+00 [24,21]: 0.000e+00 [24,22]: 0.000e+00 [24,23]: 0.000e+00 [24,24]: 2.232e+10 [24,25]: 0.000e+00 [24,26]: 0.000e+00 [24,27]: 0.000e+00 [24,28]: 0.000e+00 [24,29]: 0.000e+00 [24,30]: 0.000e+00 [24,31]: 0.000e+00 [24,32]: 0.000e+00 [24,33]: 0.000e+00 [24,34]: 0.000e+00 [24,35]: 0.000e+00 [24,36]: 0.000e+00 [24,37]: 0.000e+00 [24,38]: 0.000e+00 [24,39]: 0.000e+00 [24,40]: 0.000e+00 [24,41]: 0.000e+00 [24,42]: 0.000e+00 [24,43]: 0.000e+00 [24,44]: 0.000e+00 [24,45]: 0.000e+00 [24,46]: 0.000e+00 [24,47]: 0.000e+00 [24,48]: 0.000e+00 
[25, 1]: 0.000e+00 [25, 2]: 0.000e+00 [25, 3]: 0.000e+00 [25, 4]: 0.000e+00 [25, 5]: 0.000e+00 [25, 6]: 0.000e+00 [25, 7]: 0.000e+00 [25, 8]: 0.000e+00 [25, 9]: 0.000e+00 [25,10]: 0.000e+00 [25,11]: 0.000e+00 [25,12]: 0.000e+00 [25,13]: 0.000e+00 [25,14]: 0.000e+00 [25,15]: 0.000e+00 [25,16]: 0.000e+00 [25,17]: 0.000e+00 [25,18]: 0.000e+00 [25,19]: 0.000e+00 [25,20]: 0.000e+00 [25,21]: 0.000e+00 [25,22]: 0.000e+00 [25,23]: 0.000e+00 [25,24]: 0.000e+00 [25,25]: 2.938e+10 [25,26]: 0.000e+00 [25,27]: 0.000e+00 [25,28]: 0.000e+00 [25,29]: 0.000e+00 [25,30]: 0.000e+00 [25,31]: 0.000e+00 [25,32]: 0.000e+00 [25,33]: 0.000e+00 [25,34]: 0.000e+00 [25,35]: 0.000e+00 [25,36]: 0.000e+00 [25,37]: 0.000e+00 [25,38]: 0.000e+00 [25,39]: 0.000e+00 [25,40]: 0.000e+00 [25,41]: 0.000e+00 [25,42]: 0.000e+00 [25,43]: 0.000e+00 [25,44]: 0.000e+00 [25,45]: 0.000e+00 [25,46]: 0.000e+00 [25,47]: 0.000e+00 [25,48]: 0.000e+00 
[26, 1]: 0.000e+00 [26, 2]: 0.000e+00 [26, 3]: 0.000e+00 [26, 4]: 0.000e+00 [26, 5]: 0.000e+00 [26, 6]: 0.000e+00 [26, 7]: 0.000e+00 [26, 8]: 0.000e+00 [26, 9]: 0.000e+00 [26,10]: 0.000e+00 [26,11]: 0.000e+00 [26,12]: 0.000e+00 [26,13]: 0.000e+00 [26,14]: 0.000e+00 [26,15]: 0.000e+00 [26,16]: 0.000e+00 [26,17]: 0.000e+00 [26,18]: 0.000e+00 [26,19]: 0.000e+00 [26,20]: 0.000e+00 [26,21]: 0.000e+00 [26,22]: 0.000e+00 [26,23]: 0.000e+00 [26,24]: 0.000e+00 [26,25]: 0.000e+00 [26,26]: 2.973e+10 [26,27]: 0.000e+00 [26,28]: 0.000e+00 [26,29]: 0.000e+00 [26,30]: 0.000e+00 [26,31]: 0.000e+00 [26,32]: 0.000e+00 [26,33]: 0.000e+00 [26,34]: 0.000e+00 [26,35]: 0.000e+00 [26,36]: 0.000e+00 [26,37]: 0.000e+00 [26,38]: 0.000e+00 [26,39]: 0.000e+00 [26,40]: 0.000e+00 [26,41]: 0.000e+00 [26,42]: 0.000e+00 [26,43]: 0.000e+00 [26,44]: 0.000e+00 [26,45]: 0.000e+00 [26,46]: 0.000e+00 [26,47]: 0.000e+00 [26,48]: 0.000e+00 
[27, 1]: 0.000e+00 [27, 2]: 0.000e+00 [27, 3]: 0.000e+00 [27, 4]: 0.000e+00 [27, 5]: 0.000e+00 [27, 6]: 0.000e+00 [27, 7]: 0.000e+00 [27, 8]: 0.000e+00 [27, 9]: 0.000e+00 [27,10]: 0.000e+00 [27,11]: 0.000e+00 [27,12]: 0.000e+00 [27,13]: 0.000e+00 [27,14]: 0.000e+00 [27,15]: 0.000e+00 [27,16]: 0.000e+00 [27,17]: 0.000e+00 [27,18]: 0.000e+00 [27,19]: 0.000e+00 [27,20]: 0.000e+00 [27,21]: 0.000e+00 [27,22]: 0.000e+00 [27,23]: 0.000e+00 [27,24]: 0.000e+00 [27,25]: 0.000e+00 [27,26]: 0.000e+00 [27,27]: 2.973e+10 [27,28]: 0.000e+00 [27,29]: 0.000e+00 [27,30]: 0.000e+00 [27,31]: 0.000e+00 [27,32]: 0.000e+00 [27,33]: 0.000e+00 [27,34]: 0.000e+00 [27,35]: 0.000e+00 [27,36]: 0.000e+00 [27,37]: 0.000e+00 [27,38]: 0.000e+00 [27,39]: 0.000e+00 [27,40]: 0.000e+00 [27,41]: 0.000e+00 [27,42]: 0.000e+00 [27,43]: 0.000e+00 [27,44]: 0.000e+00 [27,45]: 0.000e+00 [27,46]: 0.000e+00 [27,47]: 0.000e+00 [27,48]: 0.000e+00 
[28, 1]: 0.000e+00 [28, 2]: 0.000e+00 [28, 3]: 0.000e+00 [28, 4]: 0.000e+00 [28, 5]: 0.000e+00 [28, 6]: 0.000e+00 [28, 7]: 0.000e+00 [28, 8]: 0.000e+00 [28, 9]: 0.000e+00 [28,10]: 0.000e+00 [28,11]: 0.000e+00 [28,12]: 0.000e+00 [28,13]: 0.000e+00 [28,14]: 0.000e+00 [28,15]: 0.000e+00 [28,16]: 0.000e+00 [28,17]: 0.000e+00 [28,18]: 0.000e+00 [28,19]: 0.000e+00 [28,20]: 0.000e+00 [28,21]: 0.000e+00 [28,22]: 0.000e+00 [28,23]: 0.000e+00 [28,24]: 0.000e+00 [28,25]: 0.000e+00 [28,26]: 0.000e+00 [28,27]: 0.000e+00 [28,28]: 6.300e+10 [28,29]: 0.000e+00 [28,30]: 0.000e+00 [28,31]: 0.000e+00 [28,32]: 0.000e+00 [28,33]: 0.000e+00 [28,34]: 0.000e+00 [28,35]: 0.000e+00 [28,36]: 0.000e+00 [28,37]: 0.000e+00 [28,38]: 0.000e+00 [28,39]: 0.000e+00 [28,40]: 0.000e+00 [28,41]: 0.000e+00 [28,42]: 0.000e+00 [28,43]: 0.000e+00 [28,44]: 0.000e+00 [28,45]: 0.000e+00 [28,46]: 0.000e+00 [28,47]: 0.000e+00 [28,48]: 0.000e+00 
[29, 1]: 0.000e+00 [29, 2]: 0.000e+00 [29, 3]: 0.000e+00 [29, 4]: 0.000e+00 [29, 5]: 0.000e+00 [29, 6]: 0.000e+00 [29, 7]: 0.000e+00 [29, 8]: 0.000e+00 [29, 9]: 0.000e+00 [29,10]: 0.000e+00 [29,11]: 0.000e+00 [29,12]: 0.000e+00 [29,13]: 0.000e+00 [29,14]: 0.000e+00 [29,15]: 0.000e+00 [29,16]: 0.000e+00 [29,17]: 0.000e+00 [29,18]: 0.000e+00 [29,19]: 0.000e+00 [29,20]: 0.000e+00 [29,21]: 0.000e+00 [29,22]: 0.000e+00 [29,23]: 0.000e+00 [29,24]: 0.000e+00 [29,25]: 0.000e+00 [29,26]: 0.000e+00 [29,27]: 0.000e+00 [29,28]: 0.000e+00 [29,29]: 6.300e+10 [29,30]: 0.000e+00 [29,31]: 0.000e+00 [29,32]: 0.000e+00 [29,33]: 0.000e+00 [29,34]: 0.000e+00 [29,35]: 0.000e+00 [29,36]: 0.000e+00 [29,37]: 0.000e+00 [29,38]: 0.000e+00 [29,39]: 0.000e+00 [29,40]: 0.000e+00 [29,41]: 0.000e+00 [29,42]: 0.000e+00 [29,43]: 0.000e+00 [29,44]: 0.000e+00 [29,45]: 0.000e+00 [29,46]: 0.000e+00 [29,47]: 0.000e+00 [29,48]: 0.000e+00 
[30, 1]: 0.000e+00 [30, 2]: 0.000e+00 [30, 3]: 0.000e+00 [30, 4]: 0.000e+00 [30, 5]: 0.000e+00 [30, 6]: 0.000e+00 [30, 7]: 0.000e+00 [30, 8]: 0.000e+00 [30, 9]: 0.000e+00 [30,10]: 0.000e+00 [30,11]: 0.000e+00 [30,12]: 0.000e+00 [30,13]: 0.000e+00 [30,14]: 0.000e+00 [30,15]: 0.000e+00 [30,16]: 0.000e+00 [30,17]: 0.000e+00 [30,18]: 0.000e+00 [30,19]: 0.000e+00 [30,20]: 0.000e+00 [30,21]: 0.000e+00 [30,22]: 0.000e+00 [30,23]: 0.000e+00 [30,24]: 0.000e+00 [30,25]: 0.000e+00 [30,26]: 0.000e+00 [30,27]: 0.000e+00 [30,28]: 0.000e+00 [30,29]: 0.000e+00 [30,30]: 6.611e+10 [30,31]: 0.000e+00 [30,32]: 0.000e+00 [30,33]: 0.000e+00 [30,34]: 0.000e+00 [30,35]: 0.000e+00 [30,36]: 0.000e+00 [30,37]: 0.000e+00 [30,38]: 0.000e+00 [30,39]: 0.000e+00 [30,40]: 0.000e+00 [30,41]: 0.000e+00 [30,42]: 0.000e+00 [30,43]: 0.000e+00 [30,44]: 0.000e+00 [30,45]: 0.000e+00 [30,46]: 0.000e+00 [30,47]: 0.000e+00 [30,48]: 0.000e+00 
