
 LIST ALL SELECTED NODES.   DSYS=      0

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE 2019 R3          19.5     ***
 ANSYS Academic Research                           
 00208316  VERSION=WINDOWS x64   16:50:34  JUN 03, 2020 CP=      0.500

 Modal Analysis--Modal (D5)                                                    



   NODE        X                   Y                   Z
       89   0.437000000000E-001    0.00000000000         0.00000000000     
       90   0.438000000000E-001    0.00000000000         0.00000000000     
       91   0.439000000000E-001    0.00000000000         0.00000000000     
       92   0.440000000000E-001    0.00000000000         0.00000000000     
       93   0.441000000000E-001    0.00000000000         0.00000000000     
       94   0.442000000000E-001    0.00000000000         0.00000000000     
       95   0.443000000000E-001    0.00000000000         0.00000000000     
       96   0.444000000000E-001    0.00000000000         0.00000000000     
       97   0.445000000000E-001    0.00000000000         0.00000000000     
       98   0.446000000000E-001    0.00000000000         0.00000000000     
       99   0.447000000000E-001    0.00000000000         0.00000000000     
      100   0.448000000000E-001    0.00000000000         0.00000000000     

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE 2019 R3          19.5     ***
 ANSYS Academic Research                           
 00208316  VERSION=WINDOWS x64   16:50:34  JUN 03, 2020 CP=      0.500

 Modal Analysis--Modal (D5)                                                    



   NODE        X                   Y                   Z
      101   0.449000000000E-001    0.00000000000         0.00000000000     
      102   0.450000000000E-001    0.00000000000         0.00000000000     
      103   0.451000000000E-001    0.00000000000         0.00000000000     
      104   0.452000000000E-001    0.00000000000         0.00000000000     
      105   0.453000000000E-001    0.00000000000         0.00000000000     
      106   0.454000000000E-001    0.00000000000         0.00000000000     
      107   0.455000000000E-001    0.00000000000         0.00000000000     
      108   0.456000000000E-001    0.00000000000         0.00000000000     
      109   0.457000000000E-001    0.00000000000         0.00000000000     
      110   0.458000000000E-001    0.00000000000         0.00000000000     
      111   0.459000000000E-001    0.00000000000         0.00000000000     
      112   0.460000000000E-001    0.00000000000         0.00000000000     
      113   0.461000000000E-001    0.00000000000         0.00000000000     
      114   0.462000000000E-001    0.00000000000         0.00000000000     
      115   0.463000000000E-001    0.00000000000         0.00000000000     
      116   0.464000000000E-001    0.00000000000         0.00000000000     
      117   0.465000000000E-001    0.00000000000         0.00000000000     
      118   0.466000000000E-001    0.00000000000         0.00000000000     
      119   0.467000000000E-001    0.00000000000         0.00000000000     
      120   0.468000000000E-001    0.00000000000         0.00000000000     
      121   0.469000000000E-001    0.00000000000         0.00000000000     
      122   0.470000000000E-001    0.00000000000         0.00000000000     
      123   0.471000000000E-001    0.00000000000         0.00000000000     
      124   0.472000000000E-001    0.00000000000         0.00000000000     
      125   0.473000000000E-001    0.00000000000         0.00000000000     
      126   0.474000000000E-001    0.00000000000         0.00000000000     
      127   0.475000000000E-001    0.00000000000         0.00000000000     
      128   0.476000000000E-001    0.00000000000         0.00000000000     
      129   0.477000000000E-001    0.00000000000         0.00000000000     
      130   0.478000000000E-001    0.00000000000         0.00000000000     
      131   0.479000000000E-001    0.00000000000         0.00000000000     
      132   0.480000000000E-001    0.00000000000         0.00000000000     
      133   0.481000000000E-001    0.00000000000         0.00000000000     
      134   0.482000000000E-001    0.00000000000         0.00000000000     
      135   0.483000000000E-001    0.00000000000         0.00000000000     
      136   0.484000000000E-001    0.00000000000         0.00000000000     
      137   0.485000000000E-001    0.00000000000         0.00000000000     
      138   0.486000000000E-001    0.00000000000         0.00000000000     
      139   0.487000000000E-001    0.00000000000         0.00000000000     
      140   0.488000000000E-001    0.00000000000         0.00000000000     
      141   0.489000000000E-001    0.00000000000         0.00000000000     
      142   0.490000000000E-001    0.00000000000         0.00000000000     
      143   0.491000000000E-001    0.00000000000         0.00000000000     
      144   0.492000000000E-001    0.00000000000         0.00000000000     
      145   0.493000000000E-001    0.00000000000         0.00000000000     
      146   0.494000000000E-001    0.00000000000         0.00000000000     
      147   0.495000000000E-001    0.00000000000         0.00000000000     
      148   0.496000000000E-001    0.00000000000         0.00000000000     
      149   0.497000000000E-001    0.00000000000         0.00000000000     
      150   0.498000000000E-001    0.00000000000         0.00000000000     

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE 2019 R3          19.5     ***
 ANSYS Academic Research                           
 00208316  VERSION=WINDOWS x64   16:50:34  JUN 03, 2020 CP=      0.562

 Modal Analysis--Modal (D5)                                                    



   NODE        X                   Y                   Z
      151   0.499000000000E-001    0.00000000000         0.00000000000     
      152   0.500000000000E-001    0.00000000000         0.00000000000     
      153   0.501000000000E-001    0.00000000000         0.00000000000     
      154   0.502000000000E-001    0.00000000000         0.00000000000     
      155   0.503000000000E-001    0.00000000000         0.00000000000     
      156   0.504000000000E-001    0.00000000000         0.00000000000     
      157   0.505000000000E-001    0.00000000000         0.00000000000     
      158   0.506000000000E-001    0.00000000000         0.00000000000     
      159   0.507000000000E-001    0.00000000000         0.00000000000     
      160   0.508000000000E-001    0.00000000000         0.00000000000     
      161   0.509000000000E-001    0.00000000000         0.00000000000     
      162   0.510000000000E-001    0.00000000000         0.00000000000     
      163   0.511000000000E-001    0.00000000000         0.00000000000     
      164   0.512000000000E-001    0.00000000000         0.00000000000     
      165   0.513000000000E-001    0.00000000000         0.00000000000     
      166   0.514000000000E-001    0.00000000000         0.00000000000     
      167   0.515000000000E-001    0.00000000000         0.00000000000     
      168   0.516000000000E-001    0.00000000000         0.00000000000     
      169   0.517000000000E-001    0.00000000000         0.00000000000     
      170   0.518000000000E-001    0.00000000000         0.00000000000     
      171   0.519000000000E-001    0.00000000000         0.00000000000     
      172   0.520000000000E-001    0.00000000000         0.00000000000     
      173   0.521000000000E-001    0.00000000000         0.00000000000     
      174   0.522000000000E-001    0.00000000000         0.00000000000     
      175   0.523000000000E-001    0.00000000000         0.00000000000     
      176   0.524000000000E-001    0.00000000000         0.00000000000     
      177   0.525000000000E-001    0.00000000000         0.00000000000     
      178   0.526000000000E-001    0.00000000000         0.00000000000     
      179   0.527000000000E-001    0.00000000000         0.00000000000     
      180   0.528000000000E-001    0.00000000000         0.00000000000     
      181   0.529000000000E-001    0.00000000000         0.00000000000     
      182   0.530000000000E-001    0.00000000000         0.00000000000     
      183   0.531000000000E-001    0.00000000000         0.00000000000     
      184   0.532000000000E-001    0.00000000000         0.00000000000     
      185   0.533000000000E-001    0.00000000000         0.00000000000     
      186   0.534000000000E-001    0.00000000000         0.00000000000     
      187   0.535000000000E-001    0.00000000000         0.00000000000     
      188   0.536000000000E-001    0.00000000000         0.00000000000     
      189   0.537000000000E-001    0.00000000000         0.00000000000     
      190   0.538000000000E-001    0.00000000000         0.00000000000     
      191   0.539000000000E-001    0.00000000000         0.00000000000     
      192   0.540000000000E-001    0.00000000000         0.00000000000     
      193   0.541000000000E-001    0.00000000000         0.00000000000     
      194   0.542000000000E-001    0.00000000000         0.00000000000     
      195   0.543000000000E-001    0.00000000000         0.00000000000     
      196   0.544000000000E-001    0.00000000000         0.00000000000     
      197   0.545000000000E-001    0.00000000000         0.00000000000     
      198   0.546000000000E-001    0.00000000000         0.00000000000     
      199   0.547000000000E-001    0.00000000000         0.00000000000     
      200   0.548000000000E-001    0.00000000000         0.00000000000     

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE 2019 R3          19.5     ***
 ANSYS Academic Research                           
 00208316  VERSION=WINDOWS x64   16:50:34  JUN 03, 2020 CP=      0.562

 Modal Analysis--Modal (D5)                                                    



   NODE        X                   Y                   Z
      201   0.549000000000E-001    0.00000000000         0.00000000000     
      202   0.550000000000E-001    0.00000000000         0.00000000000     
      203   0.551000000000E-001    0.00000000000         0.00000000000     
      204   0.552000000000E-001    0.00000000000         0.00000000000     
      205   0.553000000000E-001    0.00000000000         0.00000000000     
      206   0.554000000000E-001    0.00000000000         0.00000000000     
      207   0.555000000000E-001    0.00000000000         0.00000000000     
      208   0.556000000000E-001    0.00000000000         0.00000000000     
      209   0.557000000000E-001    0.00000000000         0.00000000000     
      210   0.558000000000E-001    0.00000000000         0.00000000000     
      211   0.559000000000E-001    0.00000000000         0.00000000000     
      212   0.560000000000E-001    0.00000000000         0.00000000000     
      213   0.561000000000E-001    0.00000000000         0.00000000000     
      214   0.562000000000E-001    0.00000000000         0.00000000000     
      215   0.563000000000E-001    0.00000000000         0.00000000000     
      216   0.564000000000E-001    0.00000000000         0.00000000000     
      217   0.565000000000E-001    0.00000000000         0.00000000000     
      218   0.566000000000E-001    0.00000000000         0.00000000000     
      219   0.567000000000E-001    0.00000000000         0.00000000000     
      220   0.568000000000E-001    0.00000000000         0.00000000000     
      221   0.569000000000E-001    0.00000000000         0.00000000000     
      222   0.570000000000E-001    0.00000000000         0.00000000000     
      223   0.571000000000E-001    0.00000000000         0.00000000000     
      224   0.572000000000E-001    0.00000000000         0.00000000000     
      225   0.573000000000E-001    0.00000000000         0.00000000000     
      226   0.574000000000E-001    0.00000000000         0.00000000000     
      227   0.575000000000E-001    0.00000000000         0.00000000000     
      228   0.576000000000E-001    0.00000000000         0.00000000000     
      229   0.577000000000E-001    0.00000000000         0.00000000000     
      230   0.578000000000E-001    0.00000000000         0.00000000000     
      231   0.579000000000E-001    0.00000000000         0.00000000000     
      232   0.580000000000E-001    0.00000000000         0.00000000000     
      233   0.581000000000E-001    0.00000000000         0.00000000000     
      234   0.582000000000E-001    0.00000000000         0.00000000000     
      235   0.583000000000E-001    0.00000000000         0.00000000000     
      236   0.584000000000E-001    0.00000000000         0.00000000000     
      237   0.585000000000E-001    0.00000000000         0.00000000000     
      238   0.586000000000E-001    0.00000000000         0.00000000000     
      239   0.587000000000E-001    0.00000000000         0.00000000000     
      240   0.588000000000E-001    0.00000000000         0.00000000000     
      241   0.589000000000E-001    0.00000000000         0.00000000000     
      242   0.590000000000E-001    0.00000000000         0.00000000000     
      243   0.591000000000E-001    0.00000000000         0.00000000000     
      244   0.592000000000E-001    0.00000000000         0.00000000000     
      245   0.593000000000E-001    0.00000000000         0.00000000000     
      246   0.594000000000E-001    0.00000000000         0.00000000000     
      247   0.595000000000E-001    0.00000000000         0.00000000000     
      248   0.596000000000E-001    0.00000000000         0.00000000000     
      249   0.597000000000E-001    0.00000000000         0.00000000000     
      250   0.598000000000E-001    0.00000000000         0.00000000000     

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE 2019 R3          19.5     ***
 ANSYS Academic Research                           
 00208316  VERSION=WINDOWS x64   16:50:34  JUN 03, 2020 CP=      0.562

 Modal Analysis--Modal (D5)                                                    



   NODE        X                   Y                   Z
      251   0.599000000000E-001    0.00000000000         0.00000000000     
      252   0.600000000000E-001    0.00000000000         0.00000000000     
      253   0.601000000000E-001    0.00000000000         0.00000000000     
      254   0.602000000000E-001    0.00000000000         0.00000000000     
      255   0.603000000000E-001    0.00000000000         0.00000000000     
      256   0.604000000000E-001    0.00000000000         0.00000000000     
      257   0.605000000000E-001    0.00000000000         0.00000000000     
      258   0.606000000000E-001    0.00000000000         0.00000000000     
      259   0.607000000000E-001    0.00000000000         0.00000000000     
      260   0.608000000000E-001    0.00000000000         0.00000000000     
      261   0.609000000000E-001    0.00000000000         0.00000000000     
      262   0.610000000000E-001    0.00000000000         0.00000000000     
      263   0.611000000000E-001    0.00000000000         0.00000000000     
      264   0.612000000000E-001    0.00000000000         0.00000000000     
      265   0.613000000000E-001    0.00000000000         0.00000000000     
      266   0.614000000000E-001    0.00000000000         0.00000000000     
      267   0.615000000000E-001    0.00000000000         0.00000000000     
      268   0.616000000000E-001    0.00000000000         0.00000000000     
      269   0.617000000000E-001    0.00000000000         0.00000000000     
      270   0.618000000000E-001    0.00000000000         0.00000000000     
      271   0.619000000000E-001    0.00000000000         0.00000000000     
      272   0.620000000000E-001    0.00000000000         0.00000000000     
      273   0.621000000000E-001    0.00000000000         0.00000000000     
      274   0.622000000000E-001    0.00000000000         0.00000000000     
      275   0.623000000000E-001    0.00000000000         0.00000000000     
      276   0.624000000000E-001    0.00000000000         0.00000000000     
      277   0.625000000000E-001    0.00000000000         0.00000000000     
      278   0.626000000000E-001    0.00000000000         0.00000000000     
      279   0.627000000000E-001    0.00000000000         0.00000000000     
      280   0.628000000000E-001    0.00000000000         0.00000000000     
      281   0.629000000000E-001    0.00000000000         0.00000000000     
      282   0.630000000000E-001    0.00000000000         0.00000000000     
      283   0.631000000000E-001    0.00000000000         0.00000000000     
      284   0.632000000000E-001    0.00000000000         0.00000000000     
      285   0.633000000000E-001    0.00000000000         0.00000000000     
      286   0.634000000000E-001    0.00000000000         0.00000000000     
      287   0.635000000000E-001    0.00000000000         0.00000000000     
      288   0.636000000000E-001    0.00000000000         0.00000000000     
      289   0.637000000000E-001    0.00000000000         0.00000000000     
      290   0.638000000000E-001    0.00000000000         0.00000000000     
      291   0.639000000000E-001    0.00000000000         0.00000000000     
      292   0.640000000000E-001    0.00000000000         0.00000000000     
      293   0.641000000000E-001    0.00000000000         0.00000000000     
      294   0.642000000000E-001    0.00000000000         0.00000000000     
      295   0.643000000000E-001    0.00000000000         0.00000000000     
      296   0.644000000000E-001    0.00000000000         0.00000000000     
      297   0.645000000000E-001    0.00000000000         0.00000000000     
      298   0.646000000000E-001    0.00000000000         0.00000000000     
      299   0.647000000000E-001    0.00000000000         0.00000000000     
      300   0.648000000000E-001    0.00000000000         0.00000000000     

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE 2019 R3          19.5     ***
 ANSYS Academic Research                           
