
SUB_K: 
[ 1, 1]: 4.200e+04 [ 1, 2]: 0.000e+00 [ 1, 3]: 0.000e+00 [ 1, 4]: 0.000e+00 [ 1, 5]: 0.000e+00 [ 1, 6]: 0.000e+00 [ 1, 7]:-4.200e+04 [ 1, 8]: 0.000e+00 [ 1, 9]: 0.000e+00 [ 1,10]: 0.000e+00 [ 1,11]: 0.000e+00 [ 1,12]: 0.000e+00 [ 1,13]: 0.000e+00 [ 1,14]: 0.000e+00 [ 1,15]: 0.000e+00 [ 1,16]: 0.000e+00 [ 1,17]: 0.000e+00 [ 1,18]: 0.000e+00 [ 1,19]: 0.000e+00 [ 1,20]: 0.000e+00 [ 1,21]: 0.000e+00 [ 1,22]: 0.000e+00 [ 1,23]: 0.000e+00 [ 1,24]: 0.000e+00 
[12, 1]: 0.000e+00 [12, 2]: 4.195e+03 [12, 3]: 0.000e+00 [12, 4]: 0.000e+00 [12, 5]: 0.000e+00 [12, 6]: 6.987e+05 [12, 7]: 0.000e+00 [12, 8]:-5.588e-09 [12, 9]: 0.000e+00 [12,10]: 0.000e+00 [12,11]: 0.000e+00 [12,12]: 2.797e+06 [12,13]: 0.000e+00 [12,14]:-4.195e+03 [12,15]: 0.000e+00 [12,16]: 0.000e+00 [12,17]: 0.000e+00 [12,18]: 6.987e+05 [12,19]: 0.000e+00 [12,20]: 0.000e+00 [12,21]: 0.000e+00 [12,22]: 0.000e+00 [12,23]: 0.000e+00 [12,24]: 0.000e+00 
[13, 1]: 0.000e+00 [13, 2]: 0.000e+00 [13, 3]: 0.000e+00 [13, 4]: 0.000e+00 [13, 5]: 0.000e+00 [13, 6]: 0.000e+00 [13, 7]:-4.200e+04 [13, 8]: 0.000e+00 [13, 9]: 0.000e+00 [13,10]: 0.000e+00 [13,11]: 0.000e+00 [13,12]: 0.000e+00 [13,13]: 4.200e+04 [13,14]: 0.000e+00 [13,15]: 0.000e+00 [13,16]: 0.000e+00 [13,17]: 0.000e+00 [13,18]: 0.000e+00 [13,19]: 0.000e+00 [13,20]: 0.000e+00 [13,21]: 0.000e+00 [13,22]: 0.000e+00 [13,23]: 0.000e+00 [13,24]: 0.000e+00 
[14, 1]: 0.000e+00 [14, 2]: 0.000e+00 [14, 3]: 0.000e+00 [14, 4]: 0.000e+00 [14, 5]: 0.000e+00 [14, 6]: 0.000e+00 [14, 7]: 0.000e+00 [14, 8]:-1.678e+01 [14, 9]: 0.000e+00 [14,10]: 0.000e+00 [14,11]: 0.000e+00 [14,12]:-4.195e+03 [14,13]: 0.000e+00 [14,14]: 1.678e+01 [14,15]: 0.000e+00 [14,16]: 0.000e+00 [14,17]: 0.000e+00 [14,18]:-4.195e+03 [14,19]: 0.000e+00 [14,20]: 0.000e+00 [14,21]: 0.000e+00 [14,22]: 0.000e+00 [14,23]: 0.000e+00 [14,24]: 0.000e+00 
[15, 1]: 0.000e+00 [15, 2]: 0.000e+00 [15, 3]: 0.000e+00 [15, 4]: 0.000e+00 [15, 5]: 0.000e+00 [15, 6]: 0.000e+00 [15, 7]: 0.000e+00 [15, 8]: 0.000e+00 [15, 9]:-1.678e+01 [15,10]: 0.000e+00 [15,11]: 4.195e+03 [15,12]: 0.000e+00 [15,13]: 0.000e+00 [15,14]: 0.000e+00 [15,15]: 1.678e+01 [15,16]: 0.000e+00 [15,17]: 4.195e+03 [15,18]: 0.000e+00 [15,19]: 0.000e+00 [15,20]: 0.000e+00 [15,21]: 0.000e+00 [15,22]: 0.000e+00 [15,23]: 0.000e+00 [15,24]: 0.000e+00 
[16, 1]: 0.000e+00 [16, 2]: 0.000e+00 [16, 3]: 0.000e+00 [16, 4]: 0.000e+00 [16, 5]: 0.000e+00 [16, 6]: 0.000e+00 [16, 7]: 0.000e+00 [16, 8]: 0.000e+00 [16, 9]: 0.000e+00 [16,10]:-2.304e+05 [16,11]: 0.000e+00 [16,12]: 0.000e+00 [16,13]: 0.000e+00 [16,14]: 0.000e+00 [16,15]: 0.000e+00 [16,16]: 2.304e+05 [16,17]: 0.000e+00 [16,18]: 0.000e+00 [16,19]: 0.000e+00 [16,20]: 0.000e+00 [16,21]: 0.000e+00 [16,22]: 0.000e+00 [16,23]: 0.000e+00 [16,24]: 0.000e+00 
[17, 1]: 0.000e+00 [17, 2]: 0.000e+00 [17, 3]: 0.000e+00 [17, 4]: 0.000e+00 [17, 5]: 0.000e+00 [17, 6]: 0.000e+00 [17, 7]: 0.000e+00 [17, 8]: 0.000e+00 [17, 9]:-4.195e+03 [17,10]: 0.000e+00 [17,11]: 6.987e+05 [17,12]: 0.000e+00 [17,13]: 0.000e+00 [17,14]: 0.000e+00 [17,15]: 4.195e+03 [17,16]: 0.000e+00 [17,17]: 1.399e+06 [17,18]: 0.000e+00 [17,19]: 0.000e+00 [17,20]: 0.000e+00 [17,21]: 0.000e+00 [17,22]: 0.000e+00 [17,23]: 0.000e+00 [17,24]: 0.000e+00 
[18, 1]: 0.000e+00 [18, 2]: 0.000e+00 [18, 3]: 0.000e+00 [18, 4]: 0.000e+00 [18, 5]: 0.000e+00 [18, 6]: 0.000e+00 [18, 7]: 0.000e+00 [18, 8]: 4.195e+03 [18, 9]: 0.000e+00 [18,10]: 0.000e+00 [18,11]: 0.000e+00 [18,12]: 6.987e+05 [18,13]: 0.000e+00 [18,14]:-4.195e+03 [18,15]: 0.000e+00 [18,16]: 0.000e+00 [18,17]: 0.000e+00 [18,18]: 1.399e+06 [18,19]: 0.000e+00 [18,20]: 0.000e+00 [18,21]: 0.000e+00 [18,22]: 0.000e+00 [18,23]: 0.000e+00 [18,24]: 0.000e+00 
[19, 1]: 0.000e+00 [19, 2]: 0.000e+00 [19, 3]: 0.000e+00 [19, 4]: 0.000e+00 [19, 5]: 0.000e+00 [19, 6]: 0.000e+00 [19, 7]: 0.000e+00 [19, 8]: 0.000e+00 [19, 9]: 0.000e+00 [19,10]: 0.000e+00 [19,11]: 0.000e+00 [19,12]: 0.000e+00 [19,13]: 0.000e+00 [19,14]: 0.000e+00 [19,15]: 0.000e+00 [19,16]: 0.000e+00 [19,17]: 0.000e+00 [19,18]: 0.000e+00 [19,19]: 1.793e+06 [19,20]: 0.000e+00 [19,21]: 0.000e+00 [19,22]: 0.000e+00 [19,23]: 0.000e+00 [19,24]: 0.000e+00 
[20, 1]: 0.000e+00 [20, 2]: 0.000e+00 [20, 3]: 0.000e+00 [20, 4]: 0.000e+00 [20, 5]: 0.000e+00 [20, 6]: 0.000e+00 [20, 7]: 0.000e+00 [20, 8]: 0.000e+00 [20, 9]: 0.000e+00 [20,10]: 0.000e+00 [20,11]: 0.000e+00 [20,12]: 0.000e+00 [20,13]: 0.000e+00 [20,14]: 0.000e+00 [20,15]: 0.000e+00 [20,16]: 0.000e+00 [20,17]: 0.000e+00 [20,18]: 0.000e+00 [20,19]: 0.000e+00 [20,20]: 1.793e+06 [20,21]: 0.000e+00 [20,22]: 0.000e+00 [20,23]: 0.000e+00 [20,24]: 0.000e+00 
[21, 1]: 0.000e+00 [21, 2]: 0.000e+00 [21, 3]: 0.000e+00 [21, 4]: 0.000e+00 [21, 5]: 0.000e+00 [21, 6]: 0.000e+00 [21, 7]: 0.000e+00 [21, 8]: 0.000e+00 [21, 9]: 0.000e+00 [21,10]: 0.000e+00 [21,11]: 0.000e+00 [21,12]: 0.000e+00 [21,13]: 0.000e+00 [21,14]: 0.000e+00 [21,15]: 0.000e+00 [21,16]: 0.000e+00 [21,17]: 0.000e+00 [21,18]: 0.000e+00 [21,19]: 0.000e+00 [21,20]: 0.000e+00 [21,21]: 1.793e+06 [21,22]: 0.000e+00 [21,23]: 0.000e+00 [21,24]: 0.000e+00 
[22, 1]: 0.000e+00 [22, 2]: 0.000e+00 [22, 3]: 0.000e+00 [22, 4]: 0.000e+00 [22, 5]: 0.000e+00 [22, 6]: 0.000e+00 [22, 7]: 0.000e+00 [22, 8]: 0.000e+00 [22, 9]: 0.000e+00 [22,10]: 0.000e+00 [22,11]: 0.000e+00 [22,12]: 0.000e+00 [22,13]: 0.000e+00 [22,14]: 0.000e+00 [22,15]: 0.000e+00 [22,16]: 0.000e+00 [22,17]: 0.000e+00 [22,18]: 0.000e+00 [22,19]: 0.000e+00 [22,20]: 0.000e+00 [22,21]: 0.000e+00 [22,22]: 1.793e+06 [22,23]: 0.000e+00 [22,24]: 0.000e+00 
[23, 1]: 0.000e+00 [23, 2]: 0.000e+00 [23, 3]: 0.000e+00 [23, 4]: 0.000e+00 [23, 5]: 0.000e+00 [23, 6]: 0.000e+00 [23, 7]: 0.000e+00 [23, 8]: 0.000e+00 [23, 9]: 0.000e+00 [23,10]: 0.000e+00 [23,11]: 0.000e+00 [23,12]: 0.000e+00 [23,13]: 0.000e+00 [23,14]: 0.000e+00 [23,15]: 0.000e+00 [23,16]: 0.000e+00 [23,17]: 0.000e+00 [23,18]: 0.000e+00 [23,19]: 0.000e+00 [23,20]: 0.000e+00 [23,21]: 0.000e+00 [23,22]: 0.000e+00 [23,23]: 1.381e+07 [23,24]: 0.000e+00 
[24, 1]: 0.000e+00 [24, 2]: 0.000e+00 [24, 3]: 0.000e+00 [24, 4]: 0.000e+00 [24, 5]: 0.000e+00 [24, 6]: 0.000e+00 [24, 7]: 0.000e+00 [24, 8]: 0.000e+00 [24, 9]: 0.000e+00 [24,10]: 0.000e+00 [24,11]: 0.000e+00 [24,12]: 0.000e+00 [24,13]: 0.000e+00 [24,14]: 0.000e+00 [24,15]: 0.000e+00 [24,16]: 0.000e+00 [24,17]: 0.000e+00 [24,18]: 0.000e+00 [24,19]: 0.000e+00 [24,20]: 0.000e+00 [24,21]: 0.000e+00 [24,22]: 0.000e+00 [24,23]: 0.000e+00 [24,24]: 1.381e+07 
